Run directory: ./outputs_sam_sirst_hq\NUDT_HQ_mllm_Qwen3_tokenCLIP_GatedBkBiFusion_NoFiLM_TSP1rawGate_TDPxattn03_SC_fixFreeze60_20260302_155149
MLLM TextConditioner disabled by --disable_text_conditioner.
Text sparse prompt enabled: source=raw_global, tokens=1, gate=True, params=264449
Text dense mask prompt enabled: type=token_xattn, hidden=128, heads=4, alpha=0.3, params=525697
Gated Backbone BiFusion enabled: layers=12, hidden=128, heads=4, every=1, gate_hidden=0, gate_bias=-2.0, params=2163392
[Epoch 001] loss=1.2741 miou=0.0053 niou=0.0053 f1=0.0090 pd=0.0370 fa=0.000002 thr=0.37 time=69.4s
[Epoch 002] loss=0.8731 miou=0.3894 niou=0.3894 f1=0.5119 pd=0.9333 fa=0.001680 thr=0.39 time=68.8s
[Epoch 003] loss=0.5917 miou=0.4696 niou=0.4696 f1=0.5960 pd=0.9344 fa=0.000912 thr=0.39 time=71.8s
[Epoch 004] loss=0.5253 miou=0.4638 niou=0.4638 f1=0.5934 pd=0.9164 fa=0.000720 thr=0.38 time=70.9s
[Epoch 005] loss=0.5102 miou=0.5105 niou=0.5105 f1=0.6359 pd=0.9058 fa=0.000496 thr=0.38 time=69.1s
[Epoch 006] loss=0.4852 miou=0.5135 niou=0.5135 f1=0.6397 pd=0.9249 fa=0.000486 thr=0.38 time=75.1s
[Epoch 007] loss=0.4619 miou=0.5282 niou=0.5282 f1=0.6561 pd=0.9312 fa=0.000415 thr=0.38 time=68.2s
[Epoch 008] loss=0.4300 miou=0.5439 niou=0.5439 f1=0.6678 pd=0.9143 fa=0.000352 thr=0.38 time=68.1s
[Epoch 009] loss=0.4447 miou=0.5365 niou=0.5365 f1=0.6623 pd=0.9471 fa=0.000554 thr=0.39 time=68.6s
[Epoch 010] loss=0.4241 miou=0.5532 niou=0.5532 f1=0.6796 pd=0.9397 fa=0.000443 thr=0.38 time=71.3s
[Epoch 011] loss=0.4188 miou=0.5595 niou=0.5595 f1=0.6832 pd=0.9238 fa=0.000334 thr=0.38 time=72.7s
[Epoch 012] loss=0.4077 miou=0.5487 niou=0.5487 f1=0.6774 pd=0.9556 fa=0.000454 thr=0.38 time=76.3s
[Epoch 013] loss=0.3925 miou=0.5792 niou=0.5792 f1=0.7008 pd=0.9439 fa=0.000363 thr=0.38 time=76.7s
[Epoch 014] loss=0.3969 miou=0.5785 niou=0.5785 f1=0.6988 pd=0.9026 fa=0.000249 thr=0.38 time=75.4s
[Epoch 015] loss=0.3936 miou=0.5688 niou=0.5688 f1=0.6921 pd=0.9471 fa=0.000513 thr=0.38 time=71.3s
[Epoch 016] loss=0.3737 miou=0.5668 niou=0.5668 f1=0.6855 pd=0.8984 fa=0.000224 thr=0.38 time=68.2s
[Epoch 017] loss=0.3609 miou=0.5858 niou=0.5858 f1=0.7049 pd=0.9376 fa=0.000406 thr=0.38 time=68.2s
[Epoch 018] loss=0.3752 miou=0.5713 niou=0.5713 f1=0.6937 pd=0.9587 fa=0.000615 thr=0.38 time=68.5s
[Epoch 019] loss=0.3647 miou=0.5990 niou=0.5990 f1=0.7172 pd=0.9365 fa=0.000321 thr=0.38 time=72.1s
[Epoch 020] loss=0.3717 miou=0.5863 niou=0.5863 f1=0.7056 pd=0.9471 fa=0.000481 thr=0.38 time=71.6s
[Epoch 021] loss=0.3547 miou=0.5888 niou=0.5888 f1=0.7064 pd=0.9545 fa=0.000550 thr=0.38 time=72.0s
[Epoch 022] loss=0.3438 miou=0.6023 niou=0.6023 f1=0.7194 pd=0.9481 fa=0.000394 thr=0.38 time=72.5s
[Epoch 023] loss=0.3466 miou=0.6063 niou=0.6063 f1=0.7218 pd=0.9333 fa=0.000271 thr=0.38 time=72.2s
[Epoch 024] loss=0.3387 miou=0.5903 niou=0.5903 f1=0.7056 pd=0.9196 fa=0.000222 thr=0.38 time=72.0s
[Epoch 025] loss=0.3422 miou=0.5864 niou=0.5864 f1=0.7052 pd=0.9291 fa=0.000349 thr=0.38 time=71.8s
[Epoch 026] loss=0.3394 miou=0.5968 niou=0.5968 f1=0.7157 pd=0.9503 fa=0.000420 thr=0.38 time=71.8s
[Epoch 027] loss=0.3380 miou=0.6093 niou=0.6093 f1=0.7275 pd=0.9450 fa=0.000290 thr=0.38 time=71.8s
[Epoch 028] loss=0.3405 miou=0.6028 niou=0.6028 f1=0.7200 pd=0.9312 fa=0.000280 thr=0.38 time=71.7s
[Epoch 029] loss=0.3344 miou=0.6082 niou=0.6082 f1=0.7267 pd=0.9492 fa=0.000370 thr=0.38 time=71.8s
[Epoch 030] loss=0.3288 miou=0.6126 niou=0.6126 f1=0.7285 pd=0.9312 fa=0.000297 thr=0.38 time=72.2s
[Epoch 031] loss=0.3226 miou=0.6212 niou=0.6212 f1=0.7355 pd=0.9439 fa=0.000208 thr=0.38 time=73.4s
[Epoch 032] loss=0.3327 miou=0.5961 niou=0.5961 f1=0.7140 pd=0.9249 fa=0.000220 thr=0.38 time=75.2s
[Epoch 033] loss=0.3194 miou=0.6231 niou=0.6231 f1=0.7382 pd=0.9439 fa=0.000246 thr=0.38 time=75.4s
[Epoch 034] loss=0.3071 miou=0.6185 niou=0.6185 f1=0.7365 pd=0.9598 fa=0.000273 thr=0.38 time=75.5s
[Epoch 035] loss=0.3114 miou=0.6147 niou=0.6147 f1=0.7312 pd=0.9640 fa=0.000374 thr=0.38 time=76.0s
[Epoch 036] loss=0.3047 miou=0.6345 niou=0.6345 f1=0.7472 pd=0.9481 fa=0.000246 thr=0.38 time=76.0s
[Epoch 037] loss=0.3005 miou=0.6280 niou=0.6280 f1=0.7428 pd=0.9545 fa=0.000336 thr=0.38 time=75.6s
[Epoch 038] loss=0.2962 miou=0.6341 niou=0.6341 f1=0.7463 pd=0.9460 fa=0.000249 thr=0.38 time=75.5s
[Epoch 039] loss=0.2888 miou=0.6299 niou=0.6299 f1=0.7417 pd=0.9302 fa=0.000182 thr=0.38 time=75.8s
[Epoch 040] loss=0.2994 miou=0.6202 niou=0.6202 f1=0.7361 pd=0.9534 fa=0.000235 thr=0.38 time=75.2s
[Epoch 041] loss=0.3074 miou=0.6421 niou=0.6421 f1=0.7520 pd=0.9397 fa=0.000180 thr=0.38 time=75.9s
[Epoch 042] loss=0.2908 miou=0.6309 niou=0.6309 f1=0.7454 pd=0.9598 fa=0.000331 thr=0.38 time=75.3s
[Epoch 043] loss=0.2998 miou=0.6324 niou=0.6324 f1=0.7474 pd=0.9429 fa=0.000225 thr=0.38 time=75.4s
[Epoch 044] loss=0.2885 miou=0.6244 niou=0.6244 f1=0.7392 pd=0.9619 fa=0.000387 thr=0.38 time=75.3s
[Epoch 045] loss=0.2827 miou=0.6240 niou=0.6240 f1=0.7394 pd=0.9524 fa=0.000376 thr=0.38 time=74.9s
